Date,Direction,Entry,Exit,Quantity,PnL,Capital,Drawdown%,Result
2026-05-29,LONG,1831.7,1827.0,109.19,-513.18,63886.73,2.01,EOD
2026-06-01,LONG,1821.6,1814.31,109.79,-800.0,63086.73,3.24,SL
2026-06-02,SHORT,1782.1,1789.23,112.23,-800.0,62286.73,4.47,SL
2026-06-03,LONG,1807.6,1821.2,110.64,1504.76,63791.49,2.16,TARGET
2026-06-04,LONG,1813.7,1806.45,110.27,-800.0,62991.49,3.39,SL
2026-06-05,SHORT,1806.6,1798.0,110.71,952.06,63943.55,1.93,EOD
2026-06-08,LONG,1802.0,1820.1,110.99,2008.88,65952.43,0.0,TARGET
2026-06-09,LONG,1808.3,1801.07,110.6,-800.0,65152.43,1.21,SL
2026-06-10,LONG,1788.8,1781.64,111.81,-800.0,64352.43,2.43,SL
2026-06-11,SHORT,1788.8,1786.8,111.81,223.61,64576.04,2.09,EOD
2026-06-12,LONG,1807.2,1822.8,110.67,1726.43,66302.47,0.0,TARGET
2026-06-15,SHORT,1829.4,1836.72,109.33,-800.0,65502.47,1.21,SL
2026-06-16,LONG,1846.2,1857.0,108.33,1169.97,66672.44,0.0,EOD
2026-06-18,LONG,1870.1,1874.2,106.95,438.48,67110.92,0.0,EOD
2026-06-19,SHORT,1897.0,1904.59,105.43,-800.0,66310.92,1.19,SL
2026-06-22,LONG,1919.7,1916.0,104.18,-385.48,65925.44,1.77,EOD
2026-06-23,SHORT,1924.8,1908.9,103.91,1652.12,67577.56,0.0,TARGET
2026-06-24,SHORT,1892.3,1874.8,105.69,1849.6,69427.16,0.0,TARGET
2026-06-29,LONG,1833.9,1846.0,109.06,1319.59,70746.76,0.0,EOD
2026-06-30,LONG,1861.5,1876.0,107.44,1557.88,72304.64,0.0,TARGET
2026-07-01,LONG,1863.8,1877.4,107.31,1459.38,73764.02,0.0,TARGET
2026-07-02,LONG,1850.8,1865.7,108.06,1610.11,75374.14,0.0,TARGET
2026-07-03,LONG,1890.0,1907.2,105.82,1820.11,77194.24,0.0,TARGET
2026-07-06,LONG,1917.9,1927.0,104.28,948.95,78143.2,0.0,EOD
2026-07-07,LONG,1931.8,1945.7,103.53,1439.07,79582.27,0.0,TARGET
2026-07-08,SHORT,1920.0,1901.1,104.17,1968.75,81551.02,0.0,TARGET
2026-07-09,LONG,1953.9,1946.08,102.36,-800.0,80751.02,0.98,SL
2026-07-10,SHORT,1916.4,1919.0,104.36,-271.34,80479.68,1.31,EOD
2026-07-13,LONG,1901.8,1903.6,105.16,189.29,80668.97,1.08,EOD
2026-07-15,SHORT,1933.6,1941.33,103.43,-800.0,79868.97,2.06,SL
2026-07-16,LONG,1923.1,1921.0,104.0,-218.4,79650.58,2.33,EOD
2026-07-17,LONG,1912.2,1908.0,104.59,-439.28,79211.29,2.87,EOD
2026-07-20,SHORT,1937.1,1939.9,103.25,-289.09,78922.2,3.22,EOD
2026-07-21,SHORT,1942.4,1949.0,102.97,-679.57,78242.63,4.06,EOD
2026-07-22,LONG,1939.6,1954.7,103.11,1557.02,79799.65,2.15,TARGET
2026-07-23,LONG,1933.8,1933.0,103.42,-82.74,79716.91,2.25,EOD
2026-07-24,SHORT,1882.0,1889.53,106.27,-800.0,78916.91,3.23,SL
